-11.8687 -11.7478 -11.6313  -11.514   -11.39 -11.2699  -11.148 -11.0246 -10.9285 -10.8422 -10.7559 -10.6696 -10.5833  -10.497 -10.4107 -10.3244 -10.2839 -10.3244 -10.4107  -10.497 -10.5833 -10.6696 -10.7559 -10.8422 -10.9285 -11.0246  -11.148 -11.2699   -11.39  -11.514 -11.6313 -11.7478 -11.8687
-11.8575 -11.7459 -11.6231 -11.5078 -11.3843 -11.2659 -11.1454 -11.0232 -10.9011 -10.8177 -10.7342 -10.6508 -10.5673 -10.4839 -10.4004  -10.317 -10.2813  -10.317 -10.4004 -10.4839 -10.5673 -10.6508 -10.7342 -10.8177 -10.9011 -11.0232 -11.1454 -11.2659 -11.3843 -11.5078 -11.6231 -11.7459 -11.8575
-11.8471 -11.7355 -11.6134 -11.5003 -11.3832 -11.2608 -11.1419  -11.021 -10.8996 -10.7924 -10.7119 -10.6314 -10.5509 -10.4704 -10.3898 -10.3093 -10.2813 -10.3093 -10.3898 -10.4704 -10.5509 -10.6314 -10.7119 -10.7924 -10.8996  -11.021 -11.1419 -11.2608 -11.3832 -11.5003 -11.6134 -11.7355 -11.8471
-11.8446 -11.7234  -11.611 -11.4914 -11.3774 -11.2561 -11.1373 -11.0178 -10.8985 -10.7747  -10.689 -10.6115  -10.534 -10.4565  -10.379 -10.3015 -10.2786 -10.3015  -10.379 -10.4565  -10.534 -10.6115  -10.689 -10.7747 -10.8985 -11.0178 -11.1373 -11.2561 -11.3774 -11.4914  -11.611 -11.7234 -11.8446
-11.8299 -11.7098 -11.6023 -11.4811 -11.3693 -11.2546 -11.1332 -11.0148 -10.8965 -10.7737 -10.6655 -10.5911 -10.5167 -10.4423 -10.3679 -10.2935 -10.2786 -10.2935 -10.3679 -10.4423 -10.5167 -10.5911 -10.6655 -10.7737 -10.8965 -11.0148 -11.1332 -11.2546 -11.3693 -11.4811 -11.6023 -11.7098 -11.8299
-11.8136 -11.7078 -11.5897 -11.4776   -11.36 -11.2473 -11.1318 -11.0138 -10.8938 -10.7721 -10.6497 -10.5703  -10.499 -10.4278 -10.3565 -10.2853 -10.2757 -10.2853 -10.3565 -10.4278  -10.499 -10.5703 -10.6497 -10.7721 -10.8938 -11.0138 -11.1318 -11.2473   -11.36 -11.4776 -11.5897 -11.7078 -11.8136
-11.8047 -11.6946 -11.5756 -11.4695 -11.3494 -11.2388 -11.1252 -11.0089 -10.8903 -10.7698 -10.6489  -10.549 -10.4809 -10.4129 -10.3449 -10.2769 -10.2757 -10.2769 -10.3449 -10.4129 -10.4809  -10.549 -10.6489 -10.7698 -10.8903 -11.0089 -11.1252 -11.2388 -11.3494 -11.4695 -11.5756 -11.6946 -11.8047
-11.7957 -11.6779 -11.5719 -11.4566 -11.3479 -11.2293 -11.1177 -11.0032 -10.8861 -10.7669 -10.6476 -10.5272 -10.4625 -10.3978  -10.333 -10.2683 -10.2727 -10.2683  -10.333 -10.3978 -10.4625 -10.5272 -10.6476 -10.7669 -10.8861 -11.0032 -11.1177 -11.2293 -11.3479 -11.4566 -11.5719 -11.6779 -11.7957
-11.7761 -11.6663 -11.5602 -11.4424 -11.3376 -11.2223 -11.1091 -10.9965 -10.8811 -10.7665 -10.6457 -10.5248 -10.4437 -10.3823 -10.3209 -10.2596 -10.2727 -10.2596 -10.3209 -10.3823 -10.4437 -10.5248 -10.6457 -10.7665 -10.8811 -10.9965 -11.1091 -11.2223 -11.3376 -11.4424 -11.5602 -11.6663 -11.7761
-11.7606 -11.6597 -11.5433 -11.4397 -11.3246 -11.2186 -11.1011  -10.989 -10.8754 -10.7633 -10.6434 -10.5242 -10.4246 -10.3666 -10.3086 -10.2507 -10.2695 -10.2507 -10.3086 -10.3666 -10.4246 -10.5242 -10.6434 -10.7633 -10.8754  -10.989 -11.1011 -11.2186 -11.3246 -11.4397 -11.5433 -11.6597 -11.7606
-11.7548 -11.6399 -11.5314 -11.4269 -11.3114 -11.2069 -11.0996 -10.9846 -10.8729 -10.7591 -10.6415 -10.5232 -10.4051 -10.3506 -10.2961 -10.2417 -10.2695 -10.2417 -10.2961 -10.3506 -10.4051 -10.5232 -10.6415 -10.7591 -10.8729 -10.9846 -11.0996 -11.2069 -11.3114 -11.4269 -11.5314 -11.6399 -11.7548
 -11.732 -11.6232  -11.525 -11.4101 -11.3105 -11.1941 -11.0891 -10.9806 -10.8689 -10.7542 -10.6404 -10.5217 -10.3999 -10.3344 -10.2835 -10.2325 -10.2661 -10.2325 -10.2835 -10.3344 -10.3999 -10.5217 -10.6404 -10.7542 -10.8689 -10.9806 -11.0891 -11.1941 -11.3105 -11.4101  -11.525 -11.6232  -11.732
-11.7149 -11.6187 -11.5053 -11.4005 -11.2952 -11.1874 -11.0777 -10.9714 -10.8616 -10.7487  -10.637 -10.5199 -10.3994  -10.318 -10.2706 -10.2232 -10.2661 -10.2232 -10.2706  -10.318 -10.3994 -10.5199  -10.637 -10.7487 -10.8616 -10.9714 -11.0777 -11.1874 -11.2952 -11.4005 -11.5053 -11.6187 -11.7149
-11.7076  -11.596 -11.4895  -11.392 -11.2787 -11.1802  -11.068 -10.9613 -10.8536 -10.7426 -10.6331 -10.5176 -10.3987 -10.3013 -10.2576 -10.2138 -10.2625 -10.2138 -10.2576 -10.3013 -10.3987 -10.5176 -10.6331 -10.7426 -10.8536 -10.9613  -11.068 -11.1802 -11.2787  -11.392 -11.4895  -11.596 -11.7076
-11.6816 -11.5786 -11.4843 -11.3727 -11.2737 -11.1653 -11.0653 -10.9534 -10.8449   -10.74 -10.6286  -10.515 -10.3977 -10.2845 -10.2444 -10.2043 -10.2625 -10.2043 -10.2444 -10.2845 -10.3977  -10.515 -10.6286   -10.74 -10.8449 -10.9534 -11.0653 -11.1653 -11.2737 -11.3727 -11.4843 -11.5786 -11.6816
-11.6677 -11.5718  -11.462   -11.36  -11.261 -11.1515  -11.052 -10.9504  -10.844 -10.7359 -10.6236 -10.5119 -10.3964 -10.2749  -10.231 -10.1946 -10.2588 -10.1946  -10.231 -10.2749 -10.3964 -10.5119 -10.6236 -10.7359  -10.844 -10.9504  -11.052 -11.1515  -11.261   -11.36  -11.462 -11.5718 -11.6677
-11.6542 -11.5462 -11.4463 -11.3521 -11.2423 -11.1494 -11.0378 -10.9387 -10.8355 -10.7285 -10.6181 -10.5085 -10.3948 -10.2747 -10.2176 -10.1849 -10.2588 -10.1849 -10.2176 -10.2747 -10.3948 -10.5085 -10.6181 -10.7285 -10.8355 -10.9387 -11.0378 -11.1494 -11.2423 -11.3521 -11.4463 -11.5462 -11.6542
